scramble,recover,time,step
10 16 11 16 8 4 12 0 13 9 13 6 4 12 8 5 11 3 10 14,1 15 6 3 1 10 4 1 7 3 6 3 9 5 10 4 9 3 10 5 6 5 7 4 6 3 7 4 10 3 9 5 10 3 9 5 7 5 8 3 8 3 8 5 7 5 16 7 3 6 3 7 4 6 15 7 4 6 3 6 16 7 15,10659,63
11 16 3 15 8 4 7 15 6 1 15 10 13 6 1 15 9 3 12 4,13 7 14 17 10 16 2 13 5 12 5 5 4 10 3 9 4 16 3 17 3 16 5 5 16 4 17 10 16 9 5 3 4 16 4 15 3 16 3 15 9 3 10 16 4 15 15 4 15 3 16 0 1 0 15 1 15 0 4 17 3 17 1 17,13641,63
1 15 4 12 6 0 11 12 2 16 3 17 8 16 3 14 7 0 9,15 3 6 16 9 13 10 3 2 0 7 4 6 3 16 4 15 5 13 3 12 5 13 3 12 10 4 9 4 10 3 9 5 7 3 6 4 7 4 6 4 4 6 12 7 3 6 13 8 12 6 4 7 13 6 9 5 10 5 9 13 10 4 9 3 9 12 11,15271,69
9 12 11 1 9 2 10 16 8 17 6 1 13 2 11 14 7 4,15 6 15 0 14 7 15 4 16 3 15 3 16 4 10 5 9 5 10 3 9 4 13 5 12 4 6 3 7 4 9 4 10 3 9 4 10 3 9 4 10 3 10 16 6 16 6 1 7 0 7 17 9 5 0 7 4 6 1 3 8 3 7 3 6 4 6 4 8 5,11661,69
17 3 15 0 9 5 11 4 6 13 6 15 6 4 10 16 6 14 2,2 7 13 4 15 10 16 0 5 12 4 13 4 12 4 13 3 12 4 13 15 5 16 5 15 4 16 4 9 3 10 3 12 6 13 4 13 3 12 7 3 12 6 13 15 3 16 4 12 7 13 3 4 12 3 6 13 4 12 3 12 7 14 3 12 3 13 4 12 4 13,10821,70
4 8 13 5 12 9 5 10 2 12 11 0 9 16 11 13 7 13 10,13 4 6 5 6 16 7 6 4 15 10 16 2 3 5 3 7 4 6 4 15 3 17 3 15 13 3 12 4 9 5 10 4 9 3 10 5 12 3 14 9 12 10 4 3 16 4 15 4 15 10 16 9 16 5 15 13 15 13 15 1 13 17 13 4 13 15 11 13 15 13 15 8 13 15 4,14404,66
10 0 9 15 7 16 7 16 4 15 8 16 7 0 16 11 13 1 14 5,12 7 14 16 10 3 17 2 3 15 10 16 9 0 16 3 15 5 10 3 9 4 12 3 13 3 6 3 7 4 6 3 7 4 4 15 4 16 3 15 4 16 3 13 4 12 4 13 5 12 3 12 4 12 3 14 13 3 12 4 13 4 14,11528,63
14 2 10 16 10 17 9 16 2 13 4 10 2 14 2 10 2 17 2 15,7 10 17 14 2 5 13 3 12 3 15 16 4 15 16 3 15 3 16 5 5 12 3 13 3 10 4 11 4 10 5 9 4 10 5 4 6 3 7 5 10 16 6 16 7 17 9 5 8 1 7 0 7 17 9 4 10 17 3,10302,61
15 5 13 0 14 8 14 10 5 11 15 9 15 7 2 14 10 5 16,4 13 6 3 6 16 4 11 4 7 3 6 4 7 4 6 13 5 12 10 4 9 4 16 3 15 4 16 3 15 4 16 3 15 6 3 7 5 6 4 7 10 5 9 3 10 3 9 9 3 12 10 4 9 3 9 13 11 3 9 3 10 9 10 4 9 4 10 3,34604,69
6 1 14 7 17 2 11 14 6 4 17 5 15 9 0 14 8 5,0 3 9 13 1 14 2 3 3 6 4 7 4 6 4 7 3 6 4 7 16 3 15 5 16 3 15 12 3 13 3 7 4 6 10 5 9 5 10 3 9 5 3 7 4 6 4 6 16 7 15 7 5 6 5 7 4 6 15 7 4 6 3 6 16 8 3 6 4,11156,68
1 9 2 13 0 11 5 16 0 8 5 7 3 14 2 13 0 9,6 17 1 16 13 9 12 0 3 10 3 9 4 10 3 9 4 9 3 10 3 9 3 10 4 7 13 6 3 6 4 7 12 5 16 4 7 3 6 4 7 3 6 15 5 9 5 10 5 9 13 10 4 9 3 9 12 11 4,9576,59
0 11 15 9 1 12 2 12 5 17 0 12 9 5 8 16 3 12 4 13,12 4 3 13 15 10 6 13 7 14 0 3 12 4 13 4 9 5 10 3 9 4 10 7 3 4 6 4 7 3 6 5 7 3 6 5 6 3 7 4 6 3 7 4 7 5 8 16 7 15 5 10 6 16 7 15 13 12 9 10 16 6 15 9 16 7 15 8 4 6 4 6 3 7 3 8 3 1 6 4 7 3 0 5,16395,81
13 6 4 13 4 17 8 3 10 2 17 0 14 10 13 10 4 14 2 14,15 4 15 10 3 8 4 4 3 9 4 10 3 10 4 9 15 3 16 3 7 4 6 4 13 5 12 4 13 3 12 16 4 15 3 16 4 15 16 5 15 3 16 4 15 3 16 3 15 4 0 4 1 9 3 10 17 1 6 4 7 3 7 0 12 15 15 13,13497,67
11 17 7 17 1 16 1 12 0 15 7 14 9 2 14 0 10 16 0,3 15 6 2 13 8 16 1 15 1 15 7 16 6 0 1 0 7 1 6 0 1 2 13 1 12 0 6 0 7 10 0 9 0 10 1 9 1 15 0 16 2 9 1 10 0 9 1 11 1 9 1 10 2 9 16 10 1 9 0 15 2 11 17 10 2 10 2 9 16 10 1 9 0 9 16 11,14130,77
14 6 4 8 14 8 4 16 1 6 14 0 15 0 6 2 8 15 7 1,7 15 0 10 12 11 16 2 12 1 13 6 1 7 1 6 1 7 0 6 1 7 0 15 1 16 2 14 4 12 2 13 3 12 2 12 14 11 13 2 13 2 12 10 13 1 12 0 12 10 14 1,11398,52
7 3 8 15 10 17 9 14 0 6 12 1 9 5 14 11 13 0,15 10 14 0 15 0 16 4 15 13 4 12 3 10 3 11 4 11 3 9 4 7 4 6 4 15 3 16 3 12 5 13 3 10 4 9 12 3 12 7 13 6 4 13 4 13 4 12 6 13 5 12 5 12 7 13 4 13 5 12 3,11666,62
1 11 15 5 7 12 11 15 3 8 12 10 16 1 9 4 13 4 17 1,6 16 8 1 9 16 0 10 9 3 10 0 4 7 3 8 5 7 5 4 12 3 13 3 12 4 13 5 15 13 15 9 16 9 15 11 16 9 16 12 3 17 4 17 16 4 15 3 16 3 17 3 1 15 4 16 0 4,11709,55
